0	0
1	0
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	0
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	0
33	2
34	2
35	2
36	2
37	2
38	2
39	1
40	1
41	0
42	0
43	0
44	1
45	1
46	1
47	1
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	3
65	3
66	3
67	3
68	3
69	3
70	3
71	3
72	1
73	1
74	2
75	2
76	2
77	3
78	1
79	1
80	2
81	2
82	2
83	3
84	1
85	0
86	2
87	2
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	0
97	0
98	1
99	1
100	2
101	2
102	2
103	2
104	1
105	1
106	2
107	2
108	1
109	1
110	2
111	2
112	2
113	2
114	2
115	2
116	2
117	2
118	2
119	2
120	2
121	2
122	2
123	2
124	2
125	2
126	2
127	2
128	2
129	2
130	3
131	3
132	3
133	3
134	3
135	3
136	3
137	3
138	2
139	2
140	2
141	2
142	0
143	3
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	1
225	1
226	1
227	1
228	0
229	0
230	0
231	0
232	1
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	1
241	1
242	0
243	0
244	0
245	1
246	1
247	1
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
